id,id_app,city,street,street_number,country
1,74,Novocherkassk,6 Forster Way,62025,Russia
2,66,Akhtopol,6 Oak Valley Park,571,Bulgaria
3,64,Toktogul,59 Summer Ridge Court,943,Kyrgyzstan
4,83,Sylhet,274 Huxley Road,9,Bangladesh
5,43,Hörby,84 Memorial Court,19361,Sweden
6,97,Skwierzyna,4 Continental Avenue,26840,Poland
7,93,San Jose,9 Waywood Court,45,United States
8,64,Staryy Urukh,9 Heath Hill,59,Russia
9,39,Koski Tl,60847 Anthes Point,04300,Finland
10,31,Bulod,5 Kinsman Alley,07766,Philippines
11,65,Funafuti,42 Hollow Ridge Way,404,Tuvalu
12,34,Nicosia,7 Petterle Terrace,9125,Cyprus
13,36,Leidschendam,4 Lien Parkway,571,Netherlands
14,43,Huarong Chengguanzhen,86 Ilene Avenue,79065,China
15,93,Mérignac,81 Grasskamp Lane,99491,France
16,97,Matangpayang,7 Atwood Lane,06,Indonesia
17,27,Harrisburg,56225 Maple Wood Court,6788,United States
18,54,Novikovo,1 Goodland Pass,778,Russia
19,48,Xipi,746 Corscot Terrace,024,China
20,73,Shiyan,3 Sundown Parkway,6,China
21,11,Arnhem,48823 Grover Pass,886,Netherlands
22,16,Veles,3504 Dapin Park,5,Macedonia
23,70,Yufrus,70 Parkside Parkway,711,Yemen
24,51,Lepanto,22282 Bellgrove Plaza,16360,Philippines
25,40,Charenton-le-Pont,1 Upham Court,520,France
26,13,Taoyao,7 Mallory Crossing,3407,China
27,44,Przyborów,1484 Beilfuss Court,20,Poland
28,34,Algés,8046 Roxbury Junction,6,Portugal
29,52,Bududa,45 Spaight Alley,3,Uganda
30,61,Pelasgía,221 Coleman Pass,87,Greece
31,12,Sindangjawa,39 Gale Alley,19030,Indonesia
32,34,Tabor,3440 Kim Parkway,70643,Slovenia
33,81,Salem,906 Waubesa Pass,5,Indonesia
34,71,Tougan,09270 Cordelia Center,9,Burkina Faso
35,83,Fort Worth,787 Heffernan Road,52934,United States
36,98,Gardanne,860 Rockefeller Park,08,France
37,48,Rawa Satu,84 Leroy Junction,54,Indonesia
38,48,Port-Cartier,020 Gateway Parkway,03,Canada
39,15,Ercheng,789 North Court,7,China
40,7,Kodyma,04864 Logan Center,9,Ukraine
41,17,Embi,2791 Mayer Street,9033,Kazakhstan
42,77,Saint Louis,3 Haas Court,27,United States
43,52,Jaguaquara,850 Birchwood Crossing,587,Brazil
44,79,Pojok,362 Debra Circle,54647,Indonesia
45,9,Jiujie,522 Morningstar Hill,4,China
46,31,Patapan,53 Armistice Way,15577,Indonesia
47,14,Castlebridge,23541 Delaware Court,773,Ireland
48,94,Su-ngai Kolok,424 Vera Place,526,Thailand
49,92,Khao Khitchakut,452 Sunfield Circle,7692,Thailand
50,72,Shah Alam,624 Coolidge Court,221,Malaysia
51,97,Bobadela,11 Bayside Pass,7,Portugal
52,48,Berëzovskiy,87124 Dwight Park,1407,Russia
53,46,Oeiras,3370 Myrtle Court,044,Brazil
54,37,Makato,0338 Talisman Court,47366,Philippines
55,59,Sepatan,7162 Heffernan Terrace,2762,Indonesia
56,11,Bojongsarung,237 Killdeer Circle,306,Indonesia
57,89,Xi’an,44737 Commercial Center,7665,China
58,100,Laiguangying,639 Dakota Court,2753,China
59,22,Yezhou,1544 Forster Court,254,China
60,40,Neftegorsk,799 Division Junction,37,Russia
61,37,Tampere,58 Goodland Hill,444,Finland
62,97,Pataha,1493 Sloan Crossing,6,Indonesia
63,93,Carepa,89829 Fisk Avenue,6,Colombia
64,87,El Potrero,617 Basil Junction,762,Mexico
65,25,Ciervo Petiso,75747 Brickson Park Alley,5478,Argentina
66,84,Leteki,302 Mcbride Alley,43712,Indonesia
67,9,Tsaghkadzor,19 Nova Street,553,Armenia
68,57,Montgomery,0168 Swallow Point,3183,United States
69,34,Al Aḩmadī,56 Kedzie Alley,49453,Kuwait
70,74,Opuzen,4 Rieder Point,62791,Croatia
71,49,Paterson,77 Buena Vista Center,107,United States
72,46,Batken,40 Aberg Alley,6,Kyrgyzstan
73,1,Irbit,4 Artisan Alley,89,Russia
74,73,Zeist,5 Spaight Parkway,23,Netherlands
75,69,Lupo,52194 Jana Hill,84,Philippines
76,43,Tudela,0614 Duke Trail,333,Philippines
77,65,Xiaocheng,5087 Tony Street,98535,China
78,20,Paris La Défense,426 8th Alley,8,France
79,4,Volgograd,00073 Holy Cross Place,21890,Russia
80,1,Saidpur,40 Prairieview Pass,987,Bangladesh
81,19,Baraguá,389 Orin Street,24657,Cuba
82,32,Mariscala,808 Upham Terrace,64464,Uruguay
83,34,Llazicë,51 Ridgeway Place,25,Kosovo
84,97,Kendung Timur,00 Russell Park,9850,Indonesia
85,92,Oganlima,8125 Harper Drive,6,Indonesia
86,46,Kanganpur,64285 Truax Street,53387,Pakistan
87,35,Campina Grande,2 Northport Crossing,17,Brazil
88,11,Paulpietersburg,4192 Thackeray Place,1635,South Africa
89,92,Maquiapo,25 Fisk Park,0826,Philippines
90,100,Golug,48598 Jackson Park,5,China
91,36,Netanya,3113 Mccormick Alley,189,Israel
92,16,Tanxi,53 Cascade Parkway,64,China
93,66,Plagiári,9480 Fairview Center,66,Greece
94,18,Lagoa do Itaenga,3518 Quincy Court,781,Brazil
95,30,Kruševac,95651 Wayridge Park,63214,Serbia
96,68,Pogwizdów,505 Pierstorff Hill,45,Poland
97,16,Lagkadás,62 Service Alley,31,Greece
98,46,Burrel,8065 Cody Circle,7632,Albania
99,45,Pasararba,8 Hauk Circle,5,Indonesia
100,60,Moro,78111 Rigney Street,635,Pakistan
