id,name,domain,version
1,Asoka,uk.co.timesonline.Redhold,9.4
2,Fixflex,org.dmoz.Greenlam,5.9
3,Voltsillam,com.apple.Sonsing,8.3.1
4,Voyatouch,com.indiegogo.Biodex,4.2
5,Latlux,net.earthlink.Flowdesk,0.30
6,Stim,edu.utexas.Trippledex,0.77
7,Voyatouch,jp.geocities.Stim,8.7
8,Fintone,com.about.Y-Solowarm,5.6
9,Cardguard,gov.nps.Treeflex,4.3
10,Aerified,com.prweb.Lotlux,6.4
11,Solarbreeze,ru.google.Konklab,6.1.3
12,Pannier,com.ycombinator.Transcof,1.5.2
13,Konklab,com.csmonitor.Stringtough,0.4.4
14,Prodder,gov.senate.Trippledex,0.3.1
15,Lotlux,gd.is.Duobam,1.25
16,Ronstring,com.angelfire.Bitwolf,1.5.8
17,Latlux,ru.google.Regrant,9.67
18,Span,org.slashdot.Tin,6.1.0
19,Zamit,co.g.Cardify,3.0
20,Cookley,au.gov.nsw.Bigtax,5.4
21,Home Ing,com.wordpress.Greenlam,0.7.5
22,Y-find,be.youtu.Stronghold,0.94
23,Fintone,au.gov.privacy.Lotstring,0.17
24,Stim,com.dagondesign.Zathin,0.77
25,Wrapsafe,com.webmd.Andalax,5.33
26,Ventosanzap,com.merriam-webster.Zathin,0.1.7
27,Stronghold,uk.co.timesonline.Bamity,6.4.1
28,Ronstring,com.trellian.Tempsoft,0.98
29,Fintone,net.jalbum.Voltsillam,0.4.9
30,Duobam,com.accuweather.Tin,3.85
31,Sonsing,com.theglobeandmail.Zaam-Dox,5.54
32,Fix San,uk.ac.cam.Ronstring,0.17
33,Zamit,com.webmd.Transcof,4.2
34,Y-Solowarm,com.lulu.Aerified,0.85
35,Toughjoyfax,com.dedecms.Toughjoyfax,0.50
36,Sonsing,com.bing.Lotstring,2.6.9
37,Tempsoft,com.over-blog.Kanlam,0.1.8
38,Fix San,com.dell.Temp,6.76
39,Toughjoyfax,com.csmonitor.Tempsoft,0.75
40,Fix San,com.tripod.Bitchip,0.60
41,Flexidy,com.wunderground.Alpha,0.62
42,Asoka,com.kickstarter.Cookley,4.17
43,Sub-Ex,com.ezinearticles.Ventosanzap,3.9.7
44,Stronghold,de.spiegel.Stim,4.6
45,Stim,com.netvibes.Stronghold,0.85
46,Zaam-Dox,com.naver.Zamit,9.3.6
47,Temp,cn.gov.miibeian.Trippledex,0.3.6
48,Job,com.pcworld.Latlux,0.60
49,Stringtough,com.biblegateway.It,0.5.7
50,Daltfresh,com.springer.Redhold,4.71
51,Pannier,com.businesswire.Kanlam,9.9.4
52,Flexidy,com.deliciousdays.Bitwolf,8.7.0
53,Cookley,net.php.Tin,5.6.0
54,Biodex,com.merriam-webster.Cardguard,9.3
55,Rank,ru.yandex.Daltfresh,0.4.5
56,Overhold,org.gnu.Zaam-Dox,0.19
57,Tempsoft,com.addthis.Opela,8.14
58,Cardify,com.huffingtonpost.Konklux,0.94
59,Solarbreeze,com.pcworld.Bamity,0.1.7
60,Gembucket,com.constantcontact.Job,0.71
61,Keylex,com.nifty.Bamity,0.6.6
62,Daltfresh,gov.ftc.Treeflex,9.0
63,Subin,uk.co.ebay.Vagram,0.7.6
64,Fix San,com.sfgate.Flexidy,0.76
65,Solarbreeze,com.nymag.Stringtough,0.6.3
66,Zoolab,com.omniture.Zaam-Dox,0.48
67,Treeflex,com.mlb.Alpha,4.6
68,Cardguard,com.live.Fix San,2.58
69,Bamity,au.gov.nsw.Redhold,4.0.3
70,Fixflex,com.eventbrite.Subin,8.3.3
71,Rank,edu.utexas.Stronghold,7.7.5
72,Asoka,edu.harvard.Trippledex,8.8.9
73,Job,gov.loc.Aerified,0.41
74,Vagram,com.mashable.Fixflex,0.66
75,Job,org.pbs.Solarbreeze,0.35
76,Overhold,com.cocolog-nifty.Home Ing,8.92
77,Viva,net.behance.Zaam-Dox,9.8.7
78,Konklab,org.altervista.Bamity,5.24
79,Vagram,gov.house.Tampflex,0.10
80,Keylex,com.businesswire.Overhold,7.9
81,Aerified,com.mozilla.Cardguard,0.21
82,Stronghold,org.dyndns.Bamity,7.0.6
83,Cookley,com.newyorker.Konklab,0.1.3
84,Tampflex,com.discovery.Sonsing,7.38
85,Toughjoyfax,com.vimeo.Stim,5.0.0
86,Lotstring,edu.virginia.Fintone,0.7.9
87,Subin,uk.nhs.Veribet,4.0
88,Kanlam,gov.house.Hatity,9.76
89,Tin,com.amazon.Domainer,3.33
90,Konklux,com.wired.Home Ing,3.7
91,Wrapsafe,com.surveymonkey.Cardguard,7.2
92,Alpha,gov.hud.Tin,0.8.8
93,Voyatouch,gd.is.Tin,4.5.6
94,Ronstring,gov.nasa.Span,1.50
95,Ronstring,com.businesswire.Keylex,3.0.3
96,Fix San,ca.google.Rank,2.50
97,Domainer,com.cisco.Home Ing,1.2
98,Namfix,ru.narod.Wrapsafe,7.19
99,Span,com.freewebs.Toughjoyfax,4.6.8
100,Bitchip,edu.psu.Konklux,3.53
